VCC	3.3	Max ADC	4096	Pull Down	10000	Thermistor	10000				
ADC Value (0-4096)	Ratio	Voltage	Thermistor Resistance	Temperature (K)	Temperature (C)						
0	0	0	0	#NUM!	#NUM!						
1108	0.2705078125	0.8926757813	3708.165997	322.42	49.27						
1112	0.271484375	0.8958984375	3726.541555	322.29	49.14						
1116	0.2724609375	0.8991210938	3744.966443	322.16	49.01						
1120	0.2734375	0.90234375	3763.44086	322.03	48.88						
1124	0.2744140625	0.9055664063	3781.965007	321.90	48.75						
1128	0.275390625	0.9087890625	3800.539084	321.77	48.62						
1132	0.2763671875	0.9120117188	3819.163293	321.64	48.49						
1136	0.27734375	0.915234375	3837.837838	321.52	48.37						
1140	0.2783203125	0.9184570313	3856.562923	321.39	48.24						
1144	0.279296875	0.9216796875	3875.338753	321.26	48.11						
1148	0.2802734375	0.9249023438	3894.165536	321.14	47.99						
1152	0.28125	0.928125	3913.043478	321.01	47.86						
1156	0.2822265625	0.9313476563	3931.972789	320.89	47.74						
1160	0.283203125	0.9345703125	3950.953678	320.76	47.61						
1164	0.2841796875	0.9377929688	3969.986357	320.64	47.49						
1168	0.28515625	0.941015625	3989.071038	320.51	47.36						
1172	0.2861328125	0.9442382813	4008.207934	320.39	47.24						
1176	0.287109375	0.9474609375	4027.39726	320.27	47.12						
1180	0.2880859375	0.9506835938	4046.639232	320.14	46.99						
1184	0.2890625	0.95390625	4065.934066	320.02	46.87						
1188	0.2900390625	0.9571289063	4085.281981	319.90	46.75						
1192	0.291015625	0.9603515625	4104.683196	319.77	46.62						
1196	0.2919921875	0.9635742188	4124.137931	319.65	46.50						
1200	0.29296875	0.966796875	4143.646409	319.53	46.38						
1204	0.2939453125	0.9700195313	4163.208852	319.41	46.26						
1208	0.294921875	0.9732421875	4182.825485	319.29	46.14						
1212	0.2958984375	0.9764648438	4202.496533	319.17	46.02						
1216	0.296875	0.9796875	4222.222222	319.05	45.90						
1220	0.2978515625	0.9829101563	4242.002782	318.93	45.78						
1224	0.298828125	0.9861328125	4261.83844	318.81	45.66						
1228	0.2998046875	0.9893554688	4281.729428	318.69	45.54						
1232	0.30078125	0.992578125	4301.675978	318.57	45.42						
1236	0.3017578125	0.9958007813	4321.678322	318.45	45.30						
1240	0.302734375	0.9990234375	4341.736695	318.33	45.18						
1244	0.3037109375	1.002246094	4361.851332	318.21	45.06						
1248	0.3046875	1.00546875	4382.022472	318.09	44.94						
1252	0.3056640625	1.008691406	4402.250352	317.98	44.83						
1256	0.306640625	1.011914063	4422.535211	317.86	44.71						
1260	0.3076171875	1.015136719	4442.877292	317.74	44.59						
1264	0.30859375	1.018359375	4463.276836	317.63	44.48						
1268	0.3095703125	1.021582031	4483.734088	317.51	44.36						
1272	0.310546875	1.024804688	4504.249292	317.39	44.24						
1276	0.3115234375	1.028027344	4524.822695	317.28	44.13						
1280	0.3125	1.03125	4545.454545	317.16	44.01						
1284	0.3134765625	1.034472656	4566.145092	317.05	43.90						
1288	0.314453125	1.037695313	4586.894587	316.93	43.78						
1292	0.3154296875	1.040917969	4607.703281	316.82	43.67						
1296	0.31640625	1.044140625	4628.571429	316.70	43.55						
1300	0.3173828125	1.047363281	4649.499285	316.59	43.44						
1304	0.318359375	1.050585938	4670.487106	316.47	43.32						
1308	0.3193359375	1.053808594	4691.535151	316.36	43.21						
1312	0.3203125	1.05703125	4712.643678	316.24	43.09						
1316	0.3212890625	1.060253906	4733.81295	316.13	42.98						
1320	0.322265625	1.063476563	4755.043228	316.02	42.87						
1324	0.3232421875	1.066699219	4776.334776	315.90	42.75						
1328	0.32421875	1.069921875	4797.687861	315.79	42.64						
1332	0.3251953125	1.073144531	4819.10275	315.68	42.53						
1336	0.326171875	1.076367188	4840.57971	315.57	42.42						
1340	0.3271484375	1.079589844	4862.119013	315.46	42.31						
1344	0.328125	1.0828125	4883.72093	315.34	42.19						
1348	0.3291015625	1.086035156	4905.385735	315.23	42.08						
1352	0.330078125	1.089257813	4927.113703	315.12	41.97						
1356	0.3310546875	1.092480469	4948.905109	315.01	41.86						
1360	0.33203125	1.095703125	4970.760234	314.90	41.75						
1364	0.3330078125	1.098925781	4992.679356	314.79	41.64						
1368	0.333984375	1.102148438	5014.662757	314.68	41.53						
1372	0.3349609375	1.105371094	5036.71072	314.57	41.42						
1376	0.3359375	1.10859375	5058.823529	314.46	41.31						
1380	0.3369140625	1.111816406	5081.001473	314.35	41.20						
1384	0.337890625	1.115039063	5103.244838	314.24	41.09						
1388	0.3388671875	1.118261719	5125.553914	314.13	40.98						
1392	0.33984375	1.121484375	5147.928994	314.02	40.87						
1396	0.3408203125	1.124707031	5170.37037	313.91	40.76						
1400	0.341796875	1.127929688	5192.878338	313.80	40.65						
1404	0.3427734375	1.131152344	5215.453195	313.70	40.55						
1408	0.34375	1.134375	5238.095238	313.59	40.44						
